_address	name	description	formula	role	room	poll	wp	cw	isScale
400	Ladevorgang_freigeben	Ladevorgang freigeben (Nur wenn DIP 10 = 1)		state		true	false	false	false
468	Ladevorgang_pausieren	Ladevorgang pausieren / starten		state		true	false	false	false
